Sample_Name	HABITAT	Region	AllBM_Order	AllBM_Genus	AllBM_Family	Type
138	Peridomestic	Capira	Rodentia	Heteromys	Heteromyidae	Mammal
294	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
295	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
298	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
300	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
301	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
302	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
303	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
382	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
383	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
384	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
385	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
391	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
402	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
414	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
416	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
421	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
1	Pasture	La Chorrera	Primates	Human	Hominidae	Mammal
3	Pasture	La Chorrera	Primates	Human	Hominidae	Mammal
6	Pasture	La Chorrera	Primates	Human	Hominidae	Mammal
7	Pasture	La Chorrera	Primates	Human	Hominidae	Mammal
11	Pasture	La Chorrera	Primates	Human	Hominidae	Mammal
13	Pasture	La Chorrera	Primates	Human	Hominidae	Mammal
14	Pasture	La Chorrera	Primates	Human	Hominidae	Mammal
18	Pasture	Capira	Primates	Human	Hominidae	Mammal
23	Pasture	Capira	Primates	Human	Hominidae	Mammal
25	Pasture	Capira	Primates	Human	Hominidae	Mammal
27	Pasture	Capira	Primates	Human	Hominidae	Mammal
28	Pasture	Capira	Primates	Human	Hominidae	Mammal
29	Pasture	Capira	Primates	Human	Hominidae	Mammal
30	Pasture	Capira	Primates	Human	Hominidae	Mammal
35	Pasture	Capira	Primates	Human	Hominidae	Mammal
36	Pasture	Capira	Primates	Human	Hominidae	Mammal
56	Pasture	Capira	Primates	Human	Hominidae	Mammal
58	Pasture	Capira	Primates	Human	Hominidae	Mammal
61	Pasture	Capira	Primates	Human	Hominidae	Mammal
65	Pasture	Capira	Primates	Human	Hominidae	Mammal
67	Pasture	Capira	Primates	Human	Hominidae	Mammal
73	Pasture	Capira	Primates	Human	Hominidae	Mammal
179	Pasture	La Chorrera	Primates	Human	Hominidae	Mammal
45	Peridomestic	Capira	Primates	Human	Hominidae	Mammal
77	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
85	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
93	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
94	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
100	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
103	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
104	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
105	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
108	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
109	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
110	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
111	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
131	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
186	Peridomestic	Capira	Primates	Human	Hominidae	Mammal
190	Peridomestic	Capira	Primates	Human	Hominidae	Mammal
402	Peridomestic	Veraguas	Primates	Human	Hominidae	Mammal
80	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
259	Forest	Veraguas	Primates	Human	Hominidae	Mammal
263	Forest	Veraguas	Primates	Human	Hominidae	Mammal
264	Forest	Veraguas	Primates	Human	Hominidae	Mammal
267	Forest	Veraguas	Primates	Human	Hominidae	Mammal
413	Forest	Veraguas	Primates	Human	Hominidae	Mammal
416	Forest	Veraguas	Primates	Human	Hominidae	Mammal
417	Forest	Veraguas	Primates	Human	Hominidae	Mammal
419	Forest	Veraguas	Primates	Human	Hominidae	Mammal
421	Forest	Veraguas	Primates	Human	Hominidae	Mammal
423	Forest	Veraguas	Primates	Human	Hominidae	Mammal
411	Forest	Veraguas	Primates	Human	Hominidae	Mammal
15	Pasture	La Chorrera	Primates	Human	Hominidae	Mammal
19	Pasture	Capira	Primates	Human	Hominidae	Mammal
21	Pasture	Capira	Primates	Human	Hominidae	Mammal
22	Pasture	Capira	Primates	Human	Hominidae	Mammal
32	Pasture	Capira	Primates	Human	Hominidae	Mammal
33	Pasture	Capira	Primates	Human	Hominidae	Mammal
53	Pasture	Capira	Primates	Human	Hominidae	Mammal
54	Pasture	Capira	Primates	Human	Hominidae	Mammal
71	Pasture	Capira	Primates	Human	Hominidae	Mammal
72	Pasture	Capira	Primates	Human	Hominidae	Mammal
151	Pasture	La Chorrera	Primates	Human	Hominidae	Mammal
154	Pasture	La Chorrera	Primates	Human	Hominidae	Mammal
157	Pasture	La Chorrera	Primates	Human	Hominidae	Mammal
170	Pasture	La Chorrera	Primates	Human	Hominidae	Mammal
219	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
221	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
223	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
225	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
228	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
235	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
341	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
343	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
344	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
353	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
360	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
368	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
370	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
373	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
375	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
376	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
378	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
379	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
381.5	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
74	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
79	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
89	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
95	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
102	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
106	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
107	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
114	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
116	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
202	Peridomestic	Veraguas	Primates	Human	Hominidae	Mammal
396	Peridomestic	Veraguas	Primates	Human	Hominidae	Mammal
399	Peridomestic	Veraguas	Primates	Human	Hominidae	Mammal
400	Peridomestic	Veraguas	Primates	Human	Hominidae	Mammal
264.5	Forest	Veraguas	Primates	Human	Hominidae	Mammal
412	Forest	Veraguas	Primates	Human	Hominidae	Mammal
415	Forest	Veraguas	Primates	Human	Hominidae	Mammal
418	Forest	Veraguas	Primates	Human	Hominidae	Mammal
420	Forest	Veraguas	Primates	Human	Hominidae	Mammal
422	Forest	Veraguas	Primates	Human	Hominidae	Mammal
409	Forest	Veraguas	Primates	Human	Hominidae	Mammal
4	Pasture	La Chorrera	Primates	Human	Hominidae	Mammal
26	Pasture	Capira	Primates	Human	Hominidae	Mammal
34	Pasture	Capira	Primates	Human	Hominidae	Mammal
