Sample_Name	HABITAT	Region	AllBM_Family	AllBM_Order	AllBM_Genus	Type
81	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
82	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
84	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
87	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
102	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
106	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
107	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
108	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
111	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
113	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
114	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
115	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
116	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
117	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
118	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
119	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
120	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
121	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
122	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
123	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
124	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
125	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
126	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
127	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
128	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
129	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
130	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
131	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
132	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
135	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
136	Peridomestic	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
137	Peridomestic	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
138	Peridomestic	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
139	Peridomestic	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
140	Peridomestic	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
141	Peridomestic	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
142	Peridomestic	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
143	Peridomestic	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
144	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
145	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
146	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
147	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
148	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
149	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
150	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
151	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
152	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
153	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
154	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
155	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
157	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
158	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
159	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
160	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
161	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
162	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
163	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
164	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
165	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
166	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
167	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
168	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
169	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
170	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
171	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
172	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
173	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
174	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
175	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
179	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
185	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
187	Peridomestic	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
188	Peridomestic	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
189	Peridomestic	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
190	Peridomestic	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
191	Peridomestic	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
192	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Philander	Mammal
193	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Philander	Mammal
