#SampleID	Sample_Name	PalmID	ESPECIE	ESTADIO	Age_Group	New_Age_Group	SEXO	PROCEDENCIA	HABITAT	Region	FirstBM	TypeBM	HumanBM	MammalBM	BirdBM	ReptileBM	NumberBM	SecondBM	ThirdBM	FourthBM	FifthBM	TotalBM	PCR_RESULTS_121_122	SingleInf_Tcruzi	PCR_RESULTS_duplex_Trangeli	R1_R2_Results_1stRun	R1_R2_GelDate_1stRun	R1_R2_Results_2ndRun	R1_R2_GelDate_2ndRun	Consensus_R1R2_Results	SingleInf_Trangeli	PCR_RESULTS_duplex_Tcruzi	Coinfection	Infection_Type
A3.P4	413	SF15	R. pallescens	Adult	N4_Adult	N3_Adult	Female	Veraguas	Forest	Veraguas	Didelphis	Mammal	Yes	Yes	No	No	Three	Human	Bos	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
A4.P4	414	SF15	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Veraguas	Forest	Veraguas	Didelphis	Mammal	No	Yes	No	No	Three	Marmosa	Heteromys	NA	NA		Positive	Positive	Positive						NA	Negative	Yes	Tcruzi
A5.P4	415	SF15	R. pallescens	N4	N4_Adult	N3_Adult	NA	Veraguas	Forest	Veraguas	Didelphis	Mammal	Yes	Yes	No	No	Three	Heteromys	Human	NA	NA		Positive	Positive	Positive						NA	Positive	Yes	Tcruzi
A6.P4	416	SF15	R. pallescens	N3	N1_N3	N3_Adult	NA	Veraguas	Forest	Veraguas	Didelphis	Mammal	Yes	Yes	No	No	Three	Human	Heteromys	NA	NA		Positive	Negative	Positive						NA	Positive	Yes	Tcruzi
A7.P4	417	SF15	R. pallescens	N3	N1_N3	N3_Adult	NA	Veraguas	Forest	Veraguas	Didelphis	Mammal	Yes	Yes	No	No	Two	Human	NA	NA	NA		Positive	Negative	Positive						NA	Positive	Yes	Tcruzi
A8.P4	418	SF15	R. pallescens	N3	N1_N3	N3_Adult	NA	Veraguas	Forest	Veraguas	Didelphis	Mammal	Yes	Yes	No	No	Three	Heteromys	Human	NA	NA		Positive	Negative	Positive						NA	Positive	Yes	Tcruzi
A9.P4	419	SF15	R. pallescens	N3	N1_N3	N3_Adult	NA	Veraguas	Forest	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Four	Human	Mus	Bos	NA		Positive	Positive	Negative						NA	Positive	No	Tcruzi
B1.P4	423	SF15	R. pallescens	N2	N1_N3	N1_N2	NA	Veraguas	Forest	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Four	Human	Metachirus	Didelphis	NA		Negative	Negative	Negative						NA	Negative	No	Negative
A1.P3	218	SF2	R. pallescens	Adult	N4_Adult	N3_Adult	Female	Veraguas	Pasture	Veraguas	Heteromys	Mammal	No	Yes	No	No	Two	Didelphis	NA	NA	NA		Positive	Positive	REDO						NA	REDO	NA	Tcruzi
A2.P3	219	SF3	R. pallescens	N5	N4_Adult	N3_Adult	NA	Veraguas	Pasture	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Two	Human	NA	NA	NA		Positive	Positive	Negative						NA	Positive	No	Tcruzi
