id,PalmID,ESTADIO,Age_Group,New_Age_Group,SEXO,PROCEDENCIA,Habitat,Region,TypeBM,HumanBM,MammalBM,BirdBM,ReptileBM,NumberBM,TypeBM_Updated,FirstBM,SecondBM,ThirdBM,FourthBM,FifthBM,PCR_RESULTS_121_122,SingleInf_Tcruzi,PCR_RESULTS_duplex_Trangeli,R1_R2_Results_1stRun,R1_R2_GelDate_1stRun,R1_R2_Results_2ndRun,R1_R2_GelDate_2ndRun,SingleInf_Trangeli,PCR_RESULTS_duplex_Tcruzi,Coinfection,Infection_Type,faith_pd
B2.P1,CC3,N1,N1_N3,N1_N2,NA,Cerro Cama,Pasture,La Chorrera,Mix,Yes,Yes,Yes,No,Four,Bird,Human,Piranga,Metachirus,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,7.936462506
B2.P2,HN9,N2,N1_N3,N1_N2,NA,La Chorrera,Peridomestic,La Chorrera,Mammal,Yes,Yes,No,No,Two,Mammal,Philander,Human,NA,NA,NA,Negative,Negative,Negative,,,,,Negative,Positive,No,Negative,7.782162664
B2.P3,SF9,Adult,N4_Adult,N3_Adult,Male,Veraguas,Pasture,Veraguas,Mammal,No,Yes,No,No,Two,Mammal,Didelphis,Heteromys,NA,NA,NA,Positive,Positive,Negative,,,,,NA,Negative,No,Tcruzi,10.66296706
B3.P1,CC3,N1,N1_N3,N1_N2,NA,Cerro Cama,Pasture,La Chorrera,Mammal,Yes,Yes,No,No,Two,Mammal,Canis,Human,NA,NA,NA,Negative,Negative,Positive,Negative,May-6-2022,,,Single,Positive,No,Trangeli,7.304099595
B3.P2,HN9,N2,N1_N3,N1_N2,NA,La Chorrera,Peridomestic,La Chorrera,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Negative,Negative,Negative,,,,,Negative,Negative,No,Negative,5.11621663
B3.P3,SF9,Adult,N4_Adult,N3_Adult,TBD,Veraguas,Pasture,Veraguas,Mammal,No,Yes,No,No,Two,Mammal,Heteromys,Didelphis,NA,NA,NA,Positive,Positive,Positive,,,,,NA,Positive,Yes,Coinfection,12.37755183
B4.P1,CA1P17,Adult,N4_Adult,N3_Adult,Male,Capira,Pasture,Capira,Mammal,Yes,Yes,No,No,One,Human,Human,NA,NA,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Positive,No,Negative,10.7711054
B4.P2,HN9,N1,N1_N3,N1_N2,NA,La Chorrera,Peridomestic,La Chorrera,Mammal,Yes,Yes,No,No,Two,Mammal,Philander,Human,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Negative,No,Negative,6.706504849
B4.P3,SF9,N4,N4_Adult,N3_Adult,NA,Veraguas,Pasture,Veraguas,Mammal,No,Yes,No,No,One,Mammal,Didelphis,NA,NA,NA,NA,Positive,Positive,Positive,,,,,NA,Negative,Yes,Coinfection,12.55061279
B5.P1,CA1P17,N4,N4_Adult,N3_Adult,NA,Capira,Pasture,Capira,Mammal,Yes,Yes,No,No,Three,Mus,Mus,Human,Metachirus,NA,NA,Positive,Positive,Negative,Negative,May-25-2022,,,Negative,Positive,No,Tcruzi,8.987106752
B5.P2,HN9,N5,N4_Adult,N3_Adult,NA,La Chorrera,Peridomestic,La Chorrera,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Positive,No,Tcruzi,7.756353979
B5.P3,SF9,N5,N4_Adult,N3_Adult,NA,Veraguas,Pasture,Veraguas,Mammal,No,Yes,No,No,One,Mammal,Didelphis,NA,NA,NA,NA,Positive,Positive,Positive,,,,,NA,Negative,Yes,Coinfection,9.965263574
B6.P1,CA1P17,N3,N1_N3,N3_Adult,NA,Capira,Pasture,Capira,Mammal,No,Yes,No,No,One,Mammal,Metachirus,NA,NA,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Positive,No,Negative,8.264573855
B6.P2,HN9,N3,N1_N3,N3_Adult,NA,La Chorrera,Peridomestic,La Chorrera,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Positive,Negative,Positive,Positive,May-6-2022,,,Negative,Positive,Yes,Coinfection,6.473769518
B6.P3,SF9,N3,N1_N3,N3_Adult,NA,Veraguas,Pasture,Veraguas,Mammal,No,Yes,No,No,One,Mammal,Didelphis,NA,NA,NA,NA,Positive,Positive,NA,,,,,NA,NA,NA,Tcruzi,13.01748213
B7.P1,CA1P17,N3,N1_N3,N3_Adult,NA,Capira,Pasture,Capira,Mammal,Yes,Yes,No,No,Three,Mammal,Metachirus,Human,Mus,NA,NA,Positive,Positive,Negative,Negative,May-25-2022,,,Negative,Negative,No,Tcruzi,6.114269938
B7.P2,HN9,N3,N1_N3,N3_Adult,NA,La Chorrera,Peridomestic,La Chorrera,Mix,No,Yes,Yes,No,Two,Mammal,Philander,Turdus,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Positive,No,Tcruzi,6.801578373
B7.P3,SF9,N3,N1_N3,N3_Adult,NA,Veraguas,Pasture,Veraguas,Mammal,No,Yes,No,No,Two,Mammal,Didelphis,Heteromys,NA,NA,NA,Positive,Positive,Positive,,,,,NA,Positive,Yes,Coinfection,9.923544686
B8.P1,CA1P17,N2,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Other,Yes,No,No,No,Three,Other,Other,Human,Metachirus,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,6.276886936
B8.P2,HN9,N3,N1_N3,N3_Adult,NA,La Chorrera,Peridomestic,La Chorrera,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Positive,Positive,Positive,Positive,May-6-2022,,,Negative,Positive,Yes,Coinfection,5.78350515
B8.P3,SF9,N3,N1_N3,N3_Adult,NA,Veraguas,Pasture,Veraguas,Mammal,No,Yes,No,No,Two,Mammal,Didelphis,Heteromys,NA,NA,NA,Positive,Positive,Negative,,,,,NA,Positive,No,Tcruzi,11.81295111
B9.P1,CA1P17,N2,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mammal,Yes,Yes,No,No,One,Human,Human,NA,NA,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,8.004678688
B9.P2,HN9,N5,N4_Adult,N3_Adult,NA,La Chorrera,Peridomestic,La Chorrera,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Positive,No,Tcruzi,8.709216432
B9.P3,SF9,N3,N1_N3,N3_Adult,NA,Veraguas,Pasture,Veraguas,Mammal,Yes,Yes,No,No,Three,Mammal,Heteromys,Didelphis,Human,NA,NA,Positive,Positive,Negative,,,,,NA,Positive,No,Tcruzi,11.86067829
C1.P1,CA1P17,N1,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mammal,Yes,Yes,No,No,Two,Human,Human,Mus,NA,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,7.058638246
C1.P2,HN9,N1,N1_N3,N1_N2,NA,La Chorrera,Peridomestic,La Chorrera,Mix,Yes,Yes,Yes,No,Four,Mammal,Philander,Thraupis,Other,Human,NA,Negative,Negative,Positive,Negative,May-6-2022,,,Single,Positive,No,Trangeli,5.240063434
C10.P1,CA3P17,N1,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mammal,Yes,Yes,No,No,Three,Human,Human,Mus,Other,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,14.16646526
C10.P2,CHOR1P6,N3,N1_N3,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Bird,No,No,Yes,No,One,Bird,Thraupis,NA,NA,NA,NA,Negative,Negative,Negative,,,,,Negative,Negative,No,Negative,5.589131355
C10.P3,SF10,N3,N1_N3,N3_Adult,NA,Veraguas,Forest,Veraguas,Mammal,No,Yes,No,No,Two,Mammal,Heteromys,Didelphis,NA,NA,NA,Positive,Positive,Negative,,,,,NA,Positive,No,Tcruzi,9.05317922
C11.P1,CA3P17,N1,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mammal,No,Yes,No,No,Two,Mammal,Philander,Mus,NA,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,6.058103557
C11.P2,CHOR1P6,N2,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Mix,No,Yes,Yes,No,Two,Mammal,Philander,Thraupis,NA,NA,NA,Negative,Negative,Negative,,,,,Negative,Negative,No,Negative,7.027903615
C11.P3,SF10,N2,N1_N3,N1_N2,NA,Veraguas,Forest,Veraguas,Mammal,Yes,Yes,No,No,Three,Mammal,Heteromys,Human,Other,NA,NA,Positive,Positive,Positive,,,,,NA,Negative,Yes,Coinfection,7.487486063
C12.P1,CA3P17,N1,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mammal,No,Yes,No,No,One,Mus,Mus,NA,NA,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,5.573578387
C12.P2,CAM1P17,Adult,N4_Adult,N3_Adult,TBD,Campana,Peridomestic,Capira,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Positive,Positive,Positive,,,,,Negative,Negative,Yes,Coinfection,7.96072643
C12.P3,SF10,N2,N1_N3,N1_N2,NA,Veraguas,Forest,Veraguas,Mix,No,Yes,Yes,No,Four,Mammal,Heteromys,Thraupis,Piranga,Didelphis,NA,Positive,Positive,Positive,,,,,NA,Negative,Yes,Coinfection,8.986874187
C2.P1,CA1P17,N1,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mammal,Yes,Yes,No,No,Two,Human,Human,Mus,NA,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,5.899446616
C2.P2,HN9,N2,N1_N3,N1_N2,NA,La Chorrera,Peridomestic,La Chorrera,Mix,No,Yes,Yes,No,Two,Mammal,Philander,Thraupis,NA,NA,NA,Positive,Positive,Positive,,,,,Negative,Positive,Yes,Coinfection,8.607336077
C2.P3,SF10,Adult,N4_Adult,N3_Adult,Male,Veraguas,Forest,Veraguas,Mammal,Yes,Yes,No,No,Three,Mammal,Heteromys,Human,Thraupis,NA,NA,Positive,Positive,NA,,,,,NA,NA,NA,Tcruzi,9.423546307
C3.P1,CA1P17,N1,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mammal,Yes,Yes,No,No,Two,Mammal,Human,Bos,NA,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,6.595220796
C3.P2,HN9,N2,N1_N3,N1_N2,NA,La Chorrera,Peridomestic,La Chorrera,Mix,No,Yes,Yes,No,Three,Mammal,Philander,Thraupis,Mus,NA,NA,Negative,Negative,Positive,,,,,Single,Negative,No,Trangeli,4.112329386
C3.P3,SF10,Adult,N4_Adult,N3_Adult,TBD,Veraguas,Forest,Veraguas,Mammal,No,Yes,No,No,Two,Mammal,Didelphis,Heteromys,NA,NA,NA,Positive,Positive,NA,,,,,NA,NA,NA,Tcruzi,10.50093767
